final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_mya_accuracy,final_eval_ind_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
64.66 \scriptsize $\pm$ 0.48,68.26 \scriptsize $\pm$ 0.46,69.97 \scriptsize $\pm$ 0.55,66.68 \scriptsize $\pm$ 0.51,73.22 \scriptsize $\pm$ 0.23,73.40 \scriptsize $\pm$ 0.29,60.28 \scriptsize $\pm$ 0.99,67.99 \scriptsize $\pm$ 0.44,54.98 \scriptsize $\pm$ 0.69,61.96 \scriptsize $\pm$ 0.25,58.01 \scriptsize $\pm$ 0.53,69.92 \scriptsize $\pm$ 0.55,69.14 \scriptsize $\pm$ 0.75,35.67 \scriptsize $\pm$ 0.30,39.29 \scriptsize $\pm$ 0.95,42.17 \scriptsize $\pm$ 0.93,41.46 \scriptsize $\pm$ 0.89,38.96 \scriptsize $\pm$ 1.20,32.88 \scriptsize $\pm$ 1.86,43.54 \scriptsize $\pm$ 1.81,55.08 \scriptsize $\pm$ 0.59,41.08 \scriptsize $\pm$ 2.15,41.67 \scriptsize $\pm$ 1.66,46.67 \scriptsize $\pm$ 2.03,37.96 \scriptsize $\pm$ 1.46,40.33 \scriptsize $\pm$ 1.08,38.96 \scriptsize $\pm$ 1.20,45.62 \scriptsize $\pm$ 1.12,39.71 \scriptsize $\pm$ 1.34,55.89 \scriptsize $\pm$ 1.22,64.59 \scriptsize $\pm$ 0.42,81.36 \scriptsize $\pm$ 0.23,53.79 \scriptsize $\pm$ 0.26,most_family_en_10,xnli,"[42, 66, 17, 23]","[54.056719085287874, 53.73588697270339, 53.9159036986349, 53.46020818617456]",0.00833679684031188,0.3213151102503361,0.024460959751999127
64.37 \scriptsize $\pm$ 0.53,68.39 \scriptsize $\pm$ 0.25,69.94 \scriptsize $\pm$ 0.28,66.46 \scriptsize $\pm$ 0.13,73.12 \scriptsize $\pm$ 0.34,73.11 \scriptsize $\pm$ 0.65,59.36 \scriptsize $\pm$ 1.03,67.94 \scriptsize $\pm$ 0.45,56.92 \scriptsize $\pm$ 0.73,62.43 \scriptsize $\pm$ 0.32,57.86 \scriptsize $\pm$ 0.68,69.86 \scriptsize $\pm$ 0.22,69.30 \scriptsize $\pm$ 0.28,35.54 \scriptsize $\pm$ 0.44,40.29 \scriptsize $\pm$ 1.15,52.79 \scriptsize $\pm$ 2.05,39.58 \scriptsize $\pm$ 1.04,41.71 \scriptsize $\pm$ 1.59,33.92 \scriptsize $\pm$ 0.67,42.46 \scriptsize $\pm$ 1.38,52.08 \scriptsize $\pm$ 1.93,37.71 \scriptsize $\pm$ 0.44,42.54 \scriptsize $\pm$ 0.72,45.46 \scriptsize $\pm$ 0.28,39.38 \scriptsize $\pm$ 1.24,39.71 \scriptsize $\pm$ 1.66,37.21 \scriptsize $\pm$ 0.83,45.37 \scriptsize $\pm$ 0.98,39.58 \scriptsize $\pm$ 2.08,55.72 \scriptsize $\pm$ 0.67,64.78 \scriptsize $\pm$ 0.49,81.42 \scriptsize $\pm$ 0.24,53.95 \scriptsize $\pm$ 0.33,most_family_en_20,xnli,"[42, 66, 17, 23]","[54.225559019360745, 53.72575283414405, 53.60389283430458, 54.232267619586544]",0.0008306962199952524,0.07584669983219841,0.0027362443859258027
64.81 \scriptsize $\pm$ 0.65,68.57 \scriptsize $\pm$ 0.43,70.10 \scriptsize $\pm$ 0.46,66.11 \scriptsize $\pm$ 1.06,73.35 \scriptsize $\pm$ 0.27,73.27 \scriptsize $\pm$ 0.21,59.60 \scriptsize $\pm$ 0.30,67.76 \scriptsize $\pm$ 0.93,57.24 \scriptsize $\pm$ 0.35,61.97 \scriptsize $\pm$ 0.33,57.75 \scriptsize $\pm$ 0.45,69.68 \scriptsize $\pm$ 0.47,69.48 \scriptsize $\pm$ 0.60,35.58 \scriptsize $\pm$ 0.29,39.75 \scriptsize $\pm$ 0.57,51.75 \scriptsize $\pm$ 1.87,41.96 \scriptsize $\pm$ 0.48,43.25 \scriptsize $\pm$ 1.24,32.46 \scriptsize $\pm$ 0.60,43.21 \scriptsize $\pm$ 1.85,52.42 \scriptsize $\pm$ 1.89,40.33 \scriptsize $\pm$ 1.01,41.83 \scriptsize $\pm$ 1.59,46.75 \scriptsize $\pm$ 1.40,40.54 \scriptsize $\pm$ 0.48,41.62 \scriptsize $\pm$ 1.60,38.21 \scriptsize $\pm$ 1.47,44.29 \scriptsize $\pm$ 0.48,40.21 \scriptsize $\pm$ 2.16,55.42 \scriptsize $\pm$ 0.51,64.70 \scriptsize $\pm$ 0.23,81.06 \scriptsize $\pm$ 0.44,54.22 \scriptsize $\pm$ 0.18,most_family_en_25,xnli,"[42, 66, 17, 23]","[54.4534519265758, 54.02219271243037, 54.137283325440265, 54.26616697904459]",0.0045283870209178335,0.029891493475507448,0.01582530452343614
64.13 \scriptsize $\pm$ 0.37,68.43 \scriptsize $\pm$ 0.26,69.94 \scriptsize $\pm$ 0.59,66.88 \scriptsize $\pm$ 0.49,73.31 \scriptsize $\pm$ 0.41,72.91 \scriptsize $\pm$ 0.38,59.75 \scriptsize $\pm$ 0.44,67.67 \scriptsize $\pm$ 0.36,54.94 \scriptsize $\pm$ 0.43,61.66 \scriptsize $\pm$ 1.31,57.33 \scriptsize $\pm$ 1.01,70.07 \scriptsize $\pm$ 0.39,69.24 \scriptsize $\pm$ 0.15,35.38 \scriptsize $\pm$ 0.08,40.08 \scriptsize $\pm$ 1.29,43.42 \scriptsize $\pm$ 1.26,41.46 \scriptsize $\pm$ 2.41,40.04 \scriptsize $\pm$ 0.67,33.46 \scriptsize $\pm$ 1.16,44.25 \scriptsize $\pm$ 0.44,57.08 \scriptsize $\pm$ 1.65,41.17 \scriptsize $\pm$ 2.14,43.00 \scriptsize $\pm$ 2.52,48.12 \scriptsize $\pm$ 1.73,38.25 \scriptsize $\pm$ 1.38,39.46 \scriptsize $\pm$ 1.25,39.92 \scriptsize $\pm$ 0.84,45.42 \scriptsize $\pm$ 2.87,40.38 \scriptsize $\pm$ 1.51,54.14 \scriptsize $\pm$ 1.10,64.85 \scriptsize $\pm$ 0.29,81.26 \scriptsize $\pm$ 0.26,53.98 \scriptsize $\pm$ 0.31,most_family_en_5,xnli,"[42, 66, 17, 23]","[54.443281500002676, 53.887800387830254, 53.830643337988896, 53.760889665039905]",0.007902406960217202,0.14463024932179236,0.028535789762915553
64.08 \scriptsize $\pm$ 0.70,68.43 \scriptsize $\pm$ 0.43,68.97 \scriptsize $\pm$ 0.65,67.05 \scriptsize $\pm$ 0.50,73.14 \scriptsize $\pm$ 0.34,72.47 \scriptsize $\pm$ 0.59,59.27 \scriptsize $\pm$ 0.74,66.89 \scriptsize $\pm$ 0.35,54.69 \scriptsize $\pm$ 0.94,61.88 \scriptsize $\pm$ 0.30,56.94 \scriptsize $\pm$ 0.27,69.47 \scriptsize $\pm$ 0.37,68.86 \scriptsize $\pm$ 0.37,35.54 \scriptsize $\pm$ 0.21,41.38 \scriptsize $\pm$ 0.83,43.88 \scriptsize $\pm$ 0.85,40.54 \scriptsize $\pm$ 2.00,42.75 \scriptsize $\pm$ 0.73,33.71 \scriptsize $\pm$ 1.07,45.25 \scriptsize $\pm$ 0.65,55.17 \scriptsize $\pm$ 1.11,54.17 \scriptsize $\pm$ 1.18,41.75 \scriptsize $\pm$ 1.62,50.42 \scriptsize $\pm$ 1.57,47.12 \scriptsize $\pm$ 2.31,40.17 \scriptsize $\pm$ 1.22,41.88 \scriptsize $\pm$ 1.24,43.87 \scriptsize $\pm$ 1.34,41.83 \scriptsize $\pm$ 0.49,54.17 \scriptsize $\pm$ 0.68,64.33 \scriptsize $\pm$ 0.60,81.26 \scriptsize $\pm$ 0.20,54.73 \scriptsize $\pm$ 0.14,most_same_script_10,xnli,"[42, 66, 17, 23]","[54.55163048567745, 54.79759917162994, 54.6939953872416, 54.870891762052295]",0.014799673721664228,0.0010552460372489306,0.4796872950637531
64.95 \scriptsize $\pm$ 0.53,68.29 \scriptsize $\pm$ 0.46,70.67 \scriptsize $\pm$ 0.22,65.98 \scriptsize $\pm$ 0.66,73.10 \scriptsize $\pm$ 0.20,72.99 \scriptsize $\pm$ 0.25,59.74 \scriptsize $\pm$ 0.60,67.17 \scriptsize $\pm$ 0.35,54.25 \scriptsize $\pm$ 1.18,60.61 \scriptsize $\pm$ 0.97,58.24 \scriptsize $\pm$ 0.75,69.27 \scriptsize $\pm$ 0.65,68.82 \scriptsize $\pm$ 0.51,35.33 \scriptsize $\pm$ 0.14,39.96 \scriptsize $\pm$ 0.85,52.92 \scriptsize $\pm$ 0.62,40.96 \scriptsize $\pm$ 0.84,42.08 \scriptsize $\pm$ 1.43,34.08 \scriptsize $\pm$ 0.99,43.04 \scriptsize $\pm$ 1.07,42.21 \scriptsize $\pm$ 1.49,40.58 \scriptsize $\pm$ 1.27,41.92 \scriptsize $\pm$ 0.91,46.12 \scriptsize $\pm$ 1.89,39.54 \scriptsize $\pm$ 0.74,44.75 \scriptsize $\pm$ 1.78,39.00 \scriptsize $\pm$ 0.96,44.50 \scriptsize $\pm$ 1.52,41.58 \scriptsize $\pm$ 1.69,54.27 \scriptsize $\pm$ 0.61,64.87 \scriptsize $\pm$ 0.32,81.46 \scriptsize $\pm$ 0.32,53.85 \scriptsize $\pm$ 0.15,most_same_script_20,xnli,"[42, 66, 17, 23]","[53.80710972492014, 53.77205985147667, 54.06794504155229, 53.76034802044705]",0.005796089645851492,0.1701175794417471,0.018607584362183478
64.68 \scriptsize $\pm$ 0.15,68.07 \scriptsize $\pm$ 0.16,69.74 \scriptsize $\pm$ 0.42,66.76 \scriptsize $\pm$ 0.22,72.99 \scriptsize $\pm$ 0.24,73.13 \scriptsize $\pm$ 0.31,59.53 \scriptsize $\pm$ 0.27,67.22 \scriptsize $\pm$ 0.42,55.09 \scriptsize $\pm$ 0.78,64.09 \scriptsize $\pm$ 0.21,57.76 \scriptsize $\pm$ 0.62,69.50 \scriptsize $\pm$ 0.32,68.81 \scriptsize $\pm$ 0.28,35.38 \scriptsize $\pm$ 0.21,50.25 \scriptsize $\pm$ 1.55,48.38 \scriptsize $\pm$ 1.82,49.75 \scriptsize $\pm$ 1.72,49.58 \scriptsize $\pm$ 0.70,34.25 \scriptsize $\pm$ 0.91,49.83 \scriptsize $\pm$ 0.56,50.12 \scriptsize $\pm$ 0.61,47.50 \scriptsize $\pm$ 1.78,43.79 \scriptsize $\pm$ 1.96,50.29 \scriptsize $\pm$ 0.84,40.88 \scriptsize $\pm$ 0.48,41.88 \scriptsize $\pm$ 0.42,44.42 \scriptsize $\pm$ 0.84,49.21 \scriptsize $\pm$ 0.72,46.08 \scriptsize $\pm$ 1.52,54.61 \scriptsize $\pm$ 0.30,64.90 \scriptsize $\pm$ 0.67,81.07 \scriptsize $\pm$ 0.10,55.92 \scriptsize $\pm$ 0.16,most_same_script_41,xnli,"[42, 66, 17, 23]","[56.1527934412676, 55.86363984497493, 55.90866332014254, 55.765946909799695]",0.06943081007004036,0.0013677484777960879,0.01609997689521836
64.23 \scriptsize $\pm$ 0.30,67.90 \scriptsize $\pm$ 0.36,69.38 \scriptsize $\pm$ 0.34,66.44 \scriptsize $\pm$ 0.25,73.36 \scriptsize $\pm$ 0.73,72.36 \scriptsize $\pm$ 0.30,59.93 \scriptsize $\pm$ 0.86,67.75 \scriptsize $\pm$ 0.21,53.76 \scriptsize $\pm$ 0.85,62.04 \scriptsize $\pm$ 1.33,57.84 \scriptsize $\pm$ 0.60,69.30 \scriptsize $\pm$ 0.28,68.57 \scriptsize $\pm$ 0.37,35.62 \scriptsize $\pm$ 0.83,41.17 \scriptsize $\pm$ 1.75,43.50 \scriptsize $\pm$ 1.87,42.38 \scriptsize $\pm$ 2.37,41.00 \scriptsize $\pm$ 1.12,33.67 \scriptsize $\pm$ 0.41,44.96 \scriptsize $\pm$ 1.88,56.83 \scriptsize $\pm$ 1.66,40.38 \scriptsize $\pm$ 1.16,43.21 \scriptsize $\pm$ 1.30,47.79 \scriptsize $\pm$ 1.07,38.42 \scriptsize $\pm$ 2.07,40.96 \scriptsize $\pm$ 0.39,38.79 \scriptsize $\pm$ 1.33,43.12 \scriptsize $\pm$ 2.02,41.12 \scriptsize $\pm$ 1.70,53.79 \scriptsize $\pm$ 0.87,64.52 \scriptsize $\pm$ 0.83,81.24 \scriptsize $\pm$ 0.18,53.92 \scriptsize $\pm$ 0.31,most_same_script_5,xnli,"[42, 66, 17, 23]","[54.269966936101, 53.62414656277257, 53.69440433810663, 54.076482173053364]",0.002267732246924036,0.12935600546926013,0.0027296992291204187
64.40 \scriptsize $\pm$ 0.44,67.61 \scriptsize $\pm$ 0.69,69.24 \scriptsize $\pm$ 0.39,66.56 \scriptsize $\pm$ 0.34,72.83 \scriptsize $\pm$ 0.51,72.74 \scriptsize $\pm$ 0.28,59.71 \scriptsize $\pm$ 0.66,67.38 \scriptsize $\pm$ 0.35,54.37 \scriptsize $\pm$ 0.43,61.63 \scriptsize $\pm$ 0.68,57.59 \scriptsize $\pm$ 0.68,69.45 \scriptsize $\pm$ 0.16,68.63 \scriptsize $\pm$ 0.28,35.33 \scriptsize $\pm$ 0.19,39.62 \scriptsize $\pm$ 1.52,43.96 \scriptsize $\pm$ 0.95,41.92 \scriptsize $\pm$ 0.62,43.21 \scriptsize $\pm$ 0.58,33.42 \scriptsize $\pm$ 0.91,44.50 \scriptsize $\pm$ 0.76,55.46 \scriptsize $\pm$ 0.98,52.71 \scriptsize $\pm$ 1.11,41.83 \scriptsize $\pm$ 1.70,50.33 \scriptsize $\pm$ 1.70,38.58 \scriptsize $\pm$ 1.06,39.25 \scriptsize $\pm$ 1.10,40.67 \scriptsize $\pm$ 0.90,43.87 \scriptsize $\pm$ 1.16,41.71 \scriptsize $\pm$ 2.42,54.97 \scriptsize $\pm$ 1.03,64.84 \scriptsize $\pm$ 0.52,81.35 \scriptsize $\pm$ 0.44,54.36 \scriptsize $\pm$ 0.32,most_uriel_en_10,xnli,"[42, 66, 17, 23]","[54.679350414452585, 54.051635502453536, 54.12166651950789, 54.6036713436398]",0.0051061370894840506,0.022347457040392746,0.008132232438856994
64.94 \scriptsize $\pm$ 0.41,68.58 \scriptsize $\pm$ 0.44,69.82 \scriptsize $\pm$ 0.50,66.41 \scriptsize $\pm$ 0.46,73.31 \scriptsize $\pm$ 0.29,72.60 \scriptsize $\pm$ 0.42,59.20 \scriptsize $\pm$ 0.44,67.42 \scriptsize $\pm$ 0.50,55.01 \scriptsize $\pm$ 0.41,61.82 \scriptsize $\pm$ 0.46,57.27 \scriptsize $\pm$ 0.60,69.58 \scriptsize $\pm$ 0.20,69.24 \scriptsize $\pm$ 0.30,35.42 \scriptsize $\pm$ 0.10,38.21 \scriptsize $\pm$ 0.95,43.54 \scriptsize $\pm$ 0.98,40.50 \scriptsize $\pm$ 0.81,42.33 \scriptsize $\pm$ 1.05,33.96 \scriptsize $\pm$ 0.50,51.38 \scriptsize $\pm$ 1.11,52.29 \scriptsize $\pm$ 2.56,52.38 \scriptsize $\pm$ 1.19,41.79 \scriptsize $\pm$ 0.71,50.50 \scriptsize $\pm$ 1.65,45.42 \scriptsize $\pm$ 1.90,40.29 \scriptsize $\pm$ 2.14,38.71 \scriptsize $\pm$ 1.21,51.75 \scriptsize $\pm$ 1.24,42.21 \scriptsize $\pm$ 1.09,54.79 \scriptsize $\pm$ 0.82,64.85 \scriptsize $\pm$ 0.52,81.15 \scriptsize $\pm$ 0.45,54.90 \scriptsize $\pm$ 0.28,most_uriel_en_20,xnli,"[42, 66, 17, 23]","[54.77808056808635, 55.194340290598426, 54.56670899153436, 55.04194936199985]",0.019827398405132566,0.00017472983438519222,0.9968179601545542
64.62 \scriptsize $\pm$ 0.75,68.02 \scriptsize $\pm$ 0.65,69.95 \scriptsize $\pm$ 0.23,66.48 \scriptsize $\pm$ 0.73,73.36 \scriptsize $\pm$ 0.49,72.96 \scriptsize $\pm$ 0.30,59.95 \scriptsize $\pm$ 0.93,67.80 \scriptsize $\pm$ 0.46,56.48 \scriptsize $\pm$ 1.25,63.53 \scriptsize $\pm$ 0.89,58.03 \scriptsize $\pm$ 0.73,69.33 \scriptsize $\pm$ 0.72,68.75 \scriptsize $\pm$ 0.50,35.46 \scriptsize $\pm$ 0.16,50.00 \scriptsize $\pm$ 1.05,48.25 \scriptsize $\pm$ 0.97,48.29 \scriptsize $\pm$ 1.77,47.17 \scriptsize $\pm$ 0.78,34.83 \scriptsize $\pm$ 0.53,51.04 \scriptsize $\pm$ 1.12,50.08 \scriptsize $\pm$ 1.49,48.50 \scriptsize $\pm$ 2.06,42.12 \scriptsize $\pm$ 1.17,50.00 \scriptsize $\pm$ 1.46,40.08 \scriptsize $\pm$ 0.91,38.96 \scriptsize $\pm$ 1.37,45.96 \scriptsize $\pm$ 1.38,50.83 \scriptsize $\pm$ 0.65,46.21 \scriptsize $\pm$ 0.93,56.15 \scriptsize $\pm$ 1.45,64.76 \scriptsize $\pm$ 0.27,81.21 \scriptsize $\pm$ 0.41,55.91 \scriptsize $\pm$ 0.23,most_uriel_en_40,xnli,"[42, 66, 17, 23]","[56.114160168269365, 55.911425807901644, 55.59766183116341, 56.024935634762656]",0.009980595687386238,0.0003694458286133807,0.009196397026517538
64.32 \scriptsize $\pm$ 0.43,67.55 \scriptsize $\pm$ 0.72,69.93 \scriptsize $\pm$ 0.27,66.37 \scriptsize $\pm$ 0.38,73.07 \scriptsize $\pm$ 0.10,72.40 \scriptsize $\pm$ 0.44,60.08 \scriptsize $\pm$ 0.32,67.54 \scriptsize $\pm$ 0.35,53.31 \scriptsize $\pm$ 0.99,61.13 \scriptsize $\pm$ 0.49,57.53 \scriptsize $\pm$ 0.46,69.56 \scriptsize $\pm$ 0.19,68.83 \scriptsize $\pm$ 0.14,35.62 \scriptsize $\pm$ 0.16,40.58 \scriptsize $\pm$ 0.83,43.67 \scriptsize $\pm$ 1.55,42.50 \scriptsize $\pm$ 1.60,40.46 \scriptsize $\pm$ 2.53,33.62 \scriptsize $\pm$ 0.76,44.58 \scriptsize $\pm$ 1.02,56.08 \scriptsize $\pm$ 0.65,41.67 \scriptsize $\pm$ 1.15,42.75 \scriptsize $\pm$ 0.93,47.92 \scriptsize $\pm$ 0.17,38.25 \scriptsize $\pm$ 1.57,39.54 \scriptsize $\pm$ 0.86,40.04 \scriptsize $\pm$ 1.40,43.42 \scriptsize $\pm$ 1.69,40.83 \scriptsize $\pm$ 1.46,53.67 \scriptsize $\pm$ 1.02,64.51 \scriptsize $\pm$ 0.55,80.94 \scriptsize $\pm$ 0.45,53.82 \scriptsize $\pm$ 0.19,most_uriel_en_5,xnli,"[42, 66, 17, 23]","[53.97834951745303, 53.9896721302703, 53.695815891675096, 53.6211543902811]",0.0034562471050064787,0.15788434373939844,0.025146482124079272
65.12 \scriptsize $\pm$ 0.39,68.34 \scriptsize $\pm$ 0.37,69.78 \scriptsize $\pm$ 0.79,66.74 \scriptsize $\pm$ 0.36,73.29 \scriptsize $\pm$ 0.25,73.15 \scriptsize $\pm$ 0.33,59.65 \scriptsize $\pm$ 0.83,68.11 \scriptsize $\pm$ 0.30,54.15 \scriptsize $\pm$ 0.25,61.94 \scriptsize $\pm$ 1.51,57.89 \scriptsize $\pm$ 0.66,68.99 \scriptsize $\pm$ 0.32,68.96 \scriptsize $\pm$ 0.60,35.12 \scriptsize $\pm$ 0.25,38.71 \scriptsize $\pm$ 0.55,42.87 \scriptsize $\pm$ 1.41,40.67 \scriptsize $\pm$ 1.23,41.62 \scriptsize $\pm$ 1.53,34.25 \scriptsize $\pm$ 1.43,43.83 \scriptsize $\pm$ 1.39,44.92 \scriptsize $\pm$ 7.40,44.62 \scriptsize $\pm$ 5.98,49.42 \scriptsize $\pm$ 2.36,47.62 \scriptsize $\pm$ 4.55,38.38 \scriptsize $\pm$ 2.02,40.96 \scriptsize $\pm$ 1.84,44.33 \scriptsize $\pm$ 5.88,44.88 \scriptsize $\pm$ 0.76,44.21 \scriptsize $\pm$ 5.52,55.96 \scriptsize $\pm$ 0.58,64.81 \scriptsize $\pm$ 0.43,81.46 \scriptsize $\pm$ 0.45,54.21 \scriptsize $\pm$ 0.89,random_langs_with_seed_10,xnli,"[42, 66, 17, 23]","[53.35633700762014, 54.85945401422356, 55.09880105740263, 53.53127332800886]",0.12835547756998017,0.24297466987112404,0.35104477001550527
64.32 \scriptsize $\pm$ 0.41,67.91 \scriptsize $\pm$ 0.58,69.53 \scriptsize $\pm$ 0.64,66.51 \scriptsize $\pm$ 0.58,73.03 \scriptsize $\pm$ 0.49,72.42 \scriptsize $\pm$ 0.35,59.82 \scriptsize $\pm$ 0.46,67.67 \scriptsize $\pm$ 0.78,54.64 \scriptsize $\pm$ 1.18,63.00 \scriptsize $\pm$ 1.09,57.74 \scriptsize $\pm$ 0.95,69.00 \scriptsize $\pm$ 0.34,68.72 \scriptsize $\pm$ 0.17,35.25 \scriptsize $\pm$ 0.22,45.25 \scriptsize $\pm$ 8.02,45.96 \scriptsize $\pm$ 5.22,40.62 \scriptsize $\pm$ 1.20,44.62 \scriptsize $\pm$ 4.63,33.17 \scriptsize $\pm$ 1.58,43.50 \scriptsize $\pm$ 1.89,45.75 \scriptsize $\pm$ 6.77,45.42 \scriptsize $\pm$ 4.86,47.04 \scriptsize $\pm$ 3.59,50.21 \scriptsize $\pm$ 3.32,40.71 \scriptsize $\pm$ 3.03,39.88 \scriptsize $\pm$ 2.01,43.50 \scriptsize $\pm$ 6.78,46.83 \scriptsize $\pm$ 1.89,44.96 \scriptsize $\pm$ 5.15,55.57 \scriptsize $\pm$ 0.34,64.72 \scriptsize $\pm$ 0.31,81.23 \scriptsize $\pm$ 0.21,54.64 \scriptsize $\pm$ 0.74,random_langs_with_seed_20,xnli,"[42, 66, 17, 23]","[54.11226750587297, 54.835383856950976, 55.60943110427937, 54.00599320795406]",0.23851113091515821,0.08938228554611963,0.6624263342749017
65.09 \scriptsize $\pm$ 0.36,68.26 \scriptsize $\pm$ 0.31,70.20 \scriptsize $\pm$ 0.41,66.72 \scriptsize $\pm$ 0.48,73.22 \scriptsize $\pm$ 0.19,72.75 \scriptsize $\pm$ 0.37,59.95 \scriptsize $\pm$ 0.55,67.91 \scriptsize $\pm$ 0.65,55.59 \scriptsize $\pm$ 2.49,63.61 \scriptsize $\pm$ 0.43,58.27 \scriptsize $\pm$ 0.15,69.74 \scriptsize $\pm$ 0.38,69.36 \scriptsize $\pm$ 0.28,35.33 \scriptsize $\pm$ 0.24,47.50 \scriptsize $\pm$ 5.56,48.46 \scriptsize $\pm$ 4.68,45.38 \scriptsize $\pm$ 4.04,48.50 \scriptsize $\pm$ 4.19,34.08 \scriptsize $\pm$ 0.87,45.00 \scriptsize $\pm$ 2.91,47.29 \scriptsize $\pm$ 2.94,43.04 \scriptsize $\pm$ 5.00,44.08 \scriptsize $\pm$ 1.39,49.29 \scriptsize $\pm$ 2.05,39.38 \scriptsize $\pm$ 0.37,42.75 \scriptsize $\pm$ 1.67,45.54 \scriptsize $\pm$ 0.60,46.42 \scriptsize $\pm$ 4.30,45.29 \scriptsize $\pm$ 1.65,55.83 \scriptsize $\pm$ 0.64,64.97 \scriptsize $\pm$ 0.11,81.53 \scriptsize $\pm$ 0.15,55.32 \scriptsize $\pm$ 0.26,random_langs_with_seed_40,xnli,"[42, 66, 17, 23]","[54.9652934412676, 55.29393876456203, 55.52910658241157, 55.50213748107004]",0.7689438532964312,0.0017627688230781873,0.16678701847601995
64.70 \scriptsize $\pm$ 0.47,67.89 \scriptsize $\pm$ 0.36,69.82 \scriptsize $\pm$ 0.13,66.66 \scriptsize $\pm$ 0.44,73.54 \scriptsize $\pm$ 0.38,72.88 \scriptsize $\pm$ 0.50,60.01 \scriptsize $\pm$ 1.03,67.71 \scriptsize $\pm$ 0.37,55.16 \scriptsize $\pm$ 0.84,61.60 \scriptsize $\pm$ 1.55,57.25 \scriptsize $\pm$ 0.91,69.05 \scriptsize $\pm$ 0.75,68.73 \scriptsize $\pm$ 0.25,35.21 \scriptsize $\pm$ 0.08,40.75 \scriptsize $\pm$ 1.65,41.92 \scriptsize $\pm$ 1.00,42.29 \scriptsize $\pm$ 1.06,42.08 \scriptsize $\pm$ 2.50,34.46 \scriptsize $\pm$ 0.98,45.12 \scriptsize $\pm$ 1.65,45.83 \scriptsize $\pm$ 6.24,45.00 \scriptsize $\pm$ 6.49,47.54 \scriptsize $\pm$ 5.18,46.21 \scriptsize $\pm$ 1.07,38.54 \scriptsize $\pm$ 1.31,39.67 \scriptsize $\pm$ 0.71,44.04 \scriptsize $\pm$ 7.51,45.21 \scriptsize $\pm$ 1.31,44.83 \scriptsize $\pm$ 5.43,54.50 \scriptsize $\pm$ 0.86,64.73 \scriptsize $\pm$ 0.87,81.02 \scriptsize $\pm$ 0.25,54.19 \scriptsize $\pm$ 0.86,random_langs_with_seed_5,xnli,"[42, 66, 17, 23]","[53.65223214763502, 54.96084163777004, 54.86735434961177, 53.26155781600338]",0.11641186745652188,0.2499602853104204,0.33363985458830137
65.47 \scriptsize $\pm$ 0.63,68.91 \scriptsize $\pm$ 0.47,70.29 \scriptsize $\pm$ 0.23,66.14 \scriptsize $\pm$ 0.59,73.35 \scriptsize $\pm$ 0.14,72.85 \scriptsize $\pm$ 0.26,60.24 \scriptsize $\pm$ 0.34,67.99 \scriptsize $\pm$ 0.41,57.12 \scriptsize $\pm$ 0.62,63.72 \scriptsize $\pm$ 0.16,58.53 \scriptsize $\pm$ 0.12,69.88 \scriptsize $\pm$ 0.26,69.11 \scriptsize $\pm$ 0.70,35.54 \scriptsize $\pm$ 0.58,48.21 \scriptsize $\pm$ 1.23,48.62 \scriptsize $\pm$ 1.34,44.79 \scriptsize $\pm$ 2.34,44.79 \scriptsize $\pm$ 1.61,34.79 \scriptsize $\pm$ 1.05,47.21 \scriptsize $\pm$ 1.13,49.29 \scriptsize $\pm$ 1.71,44.12 \scriptsize $\pm$ 0.44,41.83 \scriptsize $\pm$ 0.95,49.04 \scriptsize $\pm$ 1.30,40.25 \scriptsize $\pm$ 1.43,41.83 \scriptsize $\pm$ 0.45,43.58 \scriptsize $\pm$ 0.48,47.92 \scriptsize $\pm$ 2.25,44.29 \scriptsize $\pm$ 1.53,56.28 \scriptsize $\pm$ 0.53,64.95 \scriptsize $\pm$ 0.36,81.50 \scriptsize $\pm$ 0.25,55.39 \scriptsize $\pm$ 0.30,xt_afri,xnli,"[42, 66, 17, 23]","[55.40465809333078, 55.40656873250817, 55.006940458894555, 55.73915849601067]",-1.0,0.0001449940307768733,0.05684701160387502
